date,origin,destination,vessel_type,freight_rate,currency,unit,route_distance,bunker_price,tonnage
2021-01-01,Australia,Paradip,Capesize,30.75,USD,MT,5514.435867227768,585.68,145690.74
2021-01-01,Australia,Paradip,Panamax,38.74,USD,MT,7686.070305910905,539.11,126237.18
2021-01-01,Indonesia,Paradip,Supramax,49.78,USD,MT,3441.332860542158,704.23,52728.85
2021-01-01,Mozambique,Paradip,Supramax,51.98,USD,MT,6439.865596222301,437.19,98868.3
2021-01-01,US,Paradip,Supramax,51.35,USD,MT,3894.538570614456,464.51,72322.07
2021-01-02,Indonesia,Paradip,Capesize,29.95,USD,MT,9115.346697204262,720.92,66420.17
2021-01-02,Indonesia,Paradip,Panamax,40.81,USD,MT,4722.074173136545,655.86,76371.84
2021-01-02,Indonesia,Paradip,Supramax,47.16,USD,MT,9090.456482204065,572.54,105286.04
2021-01-02,Mozambique,Paradip,Panamax,36.83,USD,MT,8847.067003390537,735.74,105592.27
2021-01-02,Mozambique,Paradip,Panamax,43.69,USD,MT,6726.153343019945,574.17,76808.55
2021-01-03,Australia,Paradip,Panamax,37.42,USD,MT,6029.379472103603,741.69,133913.65
2021-01-03,Mozambique,Paradip,Supramax,48.61,USD,MT,7280.842762267656,410.32,78281.02
2021-01-03,Russia,Paradip,Capesize,32.59,USD,MT,4985.177475135231,455.41,70702.39
2021-01-03,Russia,Paradip,Supramax,51.0,USD,MT,3608.014148334181,651.69,127631.61
2021-01-03,US,Paradip,Panamax,40.49,USD,MT,6464.679795002992,702.74,65866.24
2021-01-04,Australia,Paradip,Supramax,51.4,USD,MT,7701.979927389885,517.35,98923.08
2021-01-04,Indonesia,Paradip,Capesize,27.85,USD,MT,3794.71507626321,539.06,118469.88
2021-01-04,Indonesia,Paradip,Supramax,55.1,USD,MT,7594.013947996236,585.82,58033.32
2021-01-04,US,Paradip,Capesize,37.83,USD,MT,5370.024627274544,556.5,148486.67
2021-01-04,US,Paradip,Panamax,43.78,USD,MT,8930.621657939599,763.83,50826.87
2021-01-05,Australia,Paradip,Panamax,39.71,USD,MT,3714.1822516079474,566.18,119277.68
2021-01-05,Australia,Paradip,Supramax,51.85,USD,MT,9767.543850400849,478.81,83187.23
2021-01-05,Mozambique,Paradip,Supramax,52.54,USD,MT,3321.137204133097,742.81,82526.06
2021-01-05,Mozambique,Paradip,Supramax,54.19,USD,MT,6281.674370416166,442.91,149026.93
2021-01-05,US,Paradip,Supramax,53.68,USD,MT,8730.496696503837,757.07,74385.44
2021-01-06,Australia,Paradip,Supramax,49.66,USD,MT,7715.658889611958,721.16,118154.71
2021-01-06,Australia,Paradip,Supramax,51.4,USD,MT,5935.839002844948,491.17,109948.27
2021-01-06,Indonesia,Paradip,Supramax,45.64,USD,MT,6644.791826659745,684.01,64097.18
2021-01-06,Mozambique,Paradip,Panamax,41.21,USD,MT,7771.64416326541,648.09,65344.97
2021-01-06,Russia,Paradip,Panamax,47.08,USD,MT,5753.8098386446345,445.81,142510.24
2021-01-07,Australia,Paradip,Capesize,30.82,USD,MT,9545.399314601022,487.46,56065.97
2021-01-07,Indonesia,Paradip,Supramax,51.81,USD,MT,4417.602786138351,549.93,97493.02
2021-01-07,Russia,Paradip,Panamax,35.86,USD,MT,8934.209965703625,435.88,131470.9
2021-01-07,US,Paradip,Panamax,41.17,USD,MT,7895.923767686772,678.79,118334.23
2021-01-07,US,Paradip,Supramax,46.66,USD,MT,4627.9934235250175,650.69,58814.35
2021-01-08,Indonesia,Paradip,Capesize,29.43,USD,MT,8170.713266296394,735.02,80698.48
2021-01-08,Indonesia,Paradip,Supramax,59.08,USD,MT,5419.937062291889,564.84,105903.23
2021-01-08,Mozambique,Paradip,Capesize,27.68,USD,MT,6565.250178619821,444.24,138093.26
2021-01-08,Mozambique,Paradip,Panamax,40.85,USD,MT,3298.9595977283216,563.23,146840.38
2021-01-08,US,Paradip,Capesize,26.73,USD,MT,9896.768066801593,704.54,91545.78
2021-01-09,Australia,Paradip,Panamax,39.23,USD,MT,4423.0991351894645,701.4,80783.53
2021-01-09,Australia,Paradip,Supramax,48.91,USD,MT,4798.306108764675,470.17,114512.5
2021-01-09,Mozambique,Paradip,Panamax,42.96,USD,MT,3179.5703594210404,527.86,134485.5
2021-01-09,Russia,Paradip,Panamax,43.55,USD,MT,9321.834743207257,526.1,90941.24
2021-01-09,US,Paradip,Supramax,50.1,USD,MT,6753.904839407896,524.12,91791.24
2021-01-10,Mozambique,Paradip,Panamax,41.79,USD,MT,4262.143218488781,784.18,133633.22
2021-01-10,Mozambique,Paradip,Supramax,49.81,USD,MT,4309.349362860139,742.53,78207.55
2021-01-10,Russia,Paradip,Capesize,27.61,USD,MT,7922.299574380391,524.91,143576.18
2021-01-10,US,Paradip,Panamax,47.28,USD,MT,6873.868832374908,685.75,106706.56
2021-01-10,US,Paradip,Supramax,49.42,USD,MT,3764.300593328776,450.84,56518.54
2021-01-11,Mozambique,Paradip,Panamax,39.02,USD,MT,4813.777522608397,506.72,105198.45
2021-01-11,Mozambique,Paradip,Panamax,46.05,USD,MT,7994.95902337419,594.45,136663.87
2021-01-11,Mozambique,Paradip,Supramax,52.85,USD,MT,8026.64538998065,790.62,104756.11
2021-01-11,US,Paradip,Capesize,33.53,USD,MT,9705.481657932807,676.64,73860.0
2021-01-11,US,Paradip,Supramax,44.88,USD,MT,6645.009605715228,669.7,111270.66
2021-01-12,Australia,Paradip,Capesize,31.4,USD,MT,5338.103100959342,540.79,84860.35
2021-01-12,Australia,Paradip,Panamax,45.42,USD,MT,5672.377618932033,671.94,133868.87
2021-01-12,Australia,Paradip,Panamax,40.02,USD,MT,4684.144924339189,445.34,71246.85
2021-01-12,Mozambique,Paradip,Supramax,51.01,USD,MT,7425.320496292701,687.31,137709.28
2021-01-12,US,Paradip,Panamax,43.17,USD,MT,7369.194260873954,485.36,120782.49
2021-01-13,Australia,Paradip,Capesize,33.93,USD,MT,7098.240358371717,526.55,89613.03
2021-01-13,Australia,Paradip,Panamax,41.15,USD,MT,5916.5710771946415,696.89,63464.72
2021-01-13,Australia,Paradip,Supramax,53.87,USD,MT,3170.887156374394,424.41,97260.31
2021-01-13,Australia,Paradip,Supramax,50.19,USD,MT,6423.53985561392,536.59,95199.65
2021-01-13,Mozambique,Paradip,Panamax,41.37,USD,MT,9642.828558945674,516.38,116805.98
2021-01-14,Australia,Paradip,Supramax,54.59,USD,MT,5340.221720412664,637.79,124027.86
2021-01-14,Australia,Paradip,Supramax,53.45,USD,MT,3854.1824334763287,620.49,132424.94
2021-01-14,Russia,Paradip,Panamax,43.29,USD,MT,5229.957687513201,798.6,50309.02
2021-01-14,Russia,Paradip,Panamax,47.32,USD,MT,6047.019933910874,424.42,100000.19
2021-01-14,US,Paradip,Panamax,42.33,USD,MT,4498.140813419403,665.93,105075.04
2021-01-15,Australia,Paradip,Capesize,31.78,USD,MT,4195.900970687778,520.49,69350.46
2021-01-15,Australia,Paradip,Panamax,40.44,USD,MT,4375.643202865038,683.22,71746.12
2021-01-15,Mozambique,Paradip,Capesize,32.95,USD,MT,5492.360027615075,547.74,110161.98
2021-01-15,Mozambique,Paradip,Capesize,30.45,USD,MT,6450.070805615162,446.04,133839.47
2021-01-15,Russia,Paradip,Supramax,55.22,USD,MT,7106.14541774312,625.35,136736.03
2021-01-16,Indonesia,Paradip,Panamax,40.55,USD,MT,7174.159714299065,531.64,72300.86
2021-01-16,Indonesia,Paradip,Panamax,47.45,USD,MT,6915.906020500212,595.96,119338.14
2021-01-16,Indonesia,Paradip,Supramax,49.15,USD,MT,6923.2655368025735,525.73,61941.61
2021-01-16,Russia,Paradip,Capesize,31.5,USD,MT,8840.312281053828,748.92,132443.71
2021-01-16,Russia,Paradip,Supramax,52.19,USD,MT,4520.072543597447,550.14,112584.03
2021-01-17,Australia,Paradip,Capesize,26.44,USD,MT,4983.197597855419,766.44,57382.38
2021-01-17,Indonesia,Paradip,Supramax,50.44,USD,MT,6865.819002516371,515.01,110971.28
