date,origin,destination,vessel_type,freight_rate,currency,unit,route_distance,bunker_price,tonnage,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,return_1d,return_7d,return_14d,rate_change_pct,realized_volatility,ewma_volatility
2021-01-01,Australia,Paradip,Capesize,30.75,USD,MT,5514.435867227768,585.68,145690.74,,,,,,,0.0,,0.0,,0.0,,,,,,
2021-01-01,Australia,Paradip,Panamax,38.74,USD,MT,7686.070305910905,539.11,126237.18,,,,,,,0.0,,0.0,,0.0,,,,,,
2021-01-01,Indonesia,Paradip,Supramax,49.78,USD,MT,3441.332860542158,704.23,52728.85,,,,,,,0.0,,0.0,,0.0,,,,,,
2021-01-01,Mozambique,Paradip,Supramax,51.98,USD,MT,6439.865596222301,437.19,98868.3,,,,,,,0.0,,0.0,,0.0,,,,,,
2021-01-01,US,Paradip,Supramax,51.35,USD,MT,3894.538570614456,464.51,72322.07,,,,,,,0.0,,0.0,,0.0,,,,,,
2021-01-02,Indonesia,Paradip,Capesize,29.95,USD,MT,9115.346697204262,720.92,66420.17,,,,,,,0.0,,0.0,,0.0,,,,,,
2021-01-02,Indonesia,Paradip,Panamax,40.81,USD,MT,4722.074173136545,655.86,76371.84,,,,,,,0.0,,0.0,,0.0,,,,,,
2021-01-02,Indonesia,Paradip,Supramax,47.16,USD,MT,9090.456482204065,572.54,105286.04,49.78,,,,,49.78,0.0,49.78,0.0,49.78,0.0,-0.052631578947368474,,,-0.052631578947368474,,
2021-01-02,Mozambique,Paradip,Panamax,36.83,USD,MT,8847.067003390537,735.74,105592.27,,,,,,49.78,0.0,49.78,0.0,49.78,0.0,,,,,,
2021-01-02,Mozambique,Paradip,Panamax,43.69,USD,MT,6726.153343019945,574.17,76808.55,36.83,,,,,43.305,9.157032816365792,43.305,9.157032816365792,43.305,9.157032816365792,0.18626120010860703,,,0.18626120010860703,,
2021-01-03,Australia,Paradip,Panamax,37.42,USD,MT,6029.379472103603,741.69,133913.65,38.74,,,,,41.78333333333333,6.990853548268147,41.78333333333333,6.990853548268147,41.78333333333333,6.990853548268147,-0.03407330924109453,,,-0.03407330924109453,,
2021-01-03,Mozambique,Paradip,Supramax,48.61,USD,MT,7280.842762267656,410.32,78281.02,51.98,,,,,44.332499999999996,7.653388683017042,44.332499999999996,7.653388683017042,44.332499999999996,7.653388683017042,-0.06483262793382061,,,-0.06483262793382061,,
2021-01-03,Russia,Paradip,Capesize,32.59,USD,MT,4985.177475135231,455.41,70702.39,,,,,,44.332499999999996,7.653388683017042,44.332499999999996,7.653388683017042,44.332499999999996,7.653388683017042,,,,,,
2021-01-03,Russia,Paradip,Supramax,51.0,USD,MT,3608.014148334181,651.69,127631.61,,,,,,44.332499999999996,7.653388683017042,44.332499999999996,7.653388683017042,44.332499999999996,7.653388683017042,,,,,,
2021-01-03,US,Paradip,Panamax,40.49,USD,MT,6464.679795002992,702.74,65866.24,,,,,,42.51666666666666,8.250941360434776,44.332499999999996,7.653388683017042,44.332499999999996,7.653388683017042,,,,,,
2021-01-04,Australia,Paradip,Supramax,51.4,USD,MT,7701.979927389885,517.35,98923.08,,,,,,42.51666666666666,8.250941360434776,44.332499999999996,7.653388683017042,44.332499999999996,7.653388683017042,,,,,,
